HILO RICE NOODLE SOUP,HILO,1990 KINOOLE STREET,,96720,HI
KAALAIKI LUNCH SHOP,NAALEHU,NAALEHU,,96772,HI
HILO DRIVE-INN,HILO,165 E. KAWILI STREET,,96720,HI
HAWAII NO. 1 CHINESE BBQ II INC.,PAHOA,"15-2660 PAHOA VILLAGE ROAD, #104",,96720,HI
KALBI EXPRESS,HILO,"315 MAKAALA STREET, SUITE 106-D",,96743,HI
ICHIBAN SUSHI EXPRESS,HILO,"14 W. LANIKAULA STREET, #103",,96720,HI
"HILO LUNCH SHOP, INC.",HILO,421 KALANIKOA STREET,,96720,HI
KALAPANA VILLAGE CAFÉ,PAHOA,12-5037 PAHOA-KALAPANA ROAD,,96778,HI
GREEN SAND CAFÉ,NAALEHU,95-5587 MAMALAHOA HIGHWAY,,96772,HI
DOSIRAK LUNCH BOX,HILO,111 E. PUAINAKO STREET,,96721,HI
KTA SUPER STORES-DELI,HILO,50 E. PUAINAKO STREET,,96720,HI
LEUNG'S CHOP SUEY HOUSE,HILO,530 E. LANIKAULA STREET,,96720,HI
MCDONALD'S OF WALMART HILO,HILO,325 MAKAALA STREET,,96720,HI
PAHOA VILLAGE CAFÉ,PAHOA,15-2929 PAHOA VILLAGE ROAD,,96778,HI
MCDONALD'S OF KEAAU,KEAAU,16-565 OLD VOLCANO ROAD,,96749,HI
KEAAU PIZZA HUT,KEAAU,16-550 OLD VOLCANO ROAD,,96817,HI
MCDONALD'S OF PUAINAKO,HILO,2100 KANOELEHUA AVENUE,,96720,HI
PAHOA MAIN ST. MARKET GRINDS,PAHOA,15-2545 OLD PAHOA HIGHWAY,,96778,HI
MIGHTY,PAHOA,"15-2660 KEAAU-PAHOA ROAD, #106",,96778,HI
KFC PAHOA,PAHOA,15-1448 KAHAKAI BOULEVARD,,96778,HI
PANDA EXPRESS #1293,HILO,368 E. MAKAALA STREET,,91770,HI
MAUI TACOS,HILO,111 E. PUAINAKO STREET,,10801,HI
L & L DRIVE INN KEAAU,KEAAU,"16-586 OLD VOLCANO ROAD, STE #104",,96749,HI
MAUNA LOA MACADAMIA NUT CORP.,KEAAU,16-701 MACADAMIA ROAD,,17033,HI
"KAWAMOTO STORE,LLC",HILO,784 KILAUEA AVENUE,,96720,HI
"PAHOA SUBWAY, LLC",PAHOA,15-2660 KEAAU-PAHOA ROAD,,96720,HI
PAUL'S REPAIR SERVICE-WOODLAND CENTER,PAHOA,15-1450 KAHAKAI BOULEVARD,,96778,HI
"KOJI'S BENTO KORNER, INC.",HILO,52 PONAHAWAI STREET,,96720,HI
PUAINAKO TACO BELL (#19),HILO,2100 KANOELEHUA AVENUE,,96817,HI
THE UMAUMA EXPERIENCE,HAKALAU,31-313 OLA MAMALAHOA HIGHWAY,,96710,HI
ROLF'S HOUSE OF SPUTNIKS,HILO,811 LAUKAPU STREET,,96720,HI
PIZZA HUT #34-KAWAILANI DELCO,HILO,2200 KINOOLE STREET,,96817,HI
PIZZA ALA SLICE,HILO,"111 E. PUAINAKO STREET, #575",,96720,HI
TARGET STORES INC.,HILO,391 E. MAKAALA STREET,,96720,HI
"SUM LEUNG CHINESE KITCHEN, INC.",HILO,"50 E. PUAINAKO STREET, #106",,96720,HI
SOONTAREE'S DELI,HILO,"14 W. LANIKAULA STREET, #104",,96720,HI
XPRESSO COFFEE TEA & DELI,HILO,111 EAST PUAINAKO STREET,,96720,HI
"THE ISLES CAFÉ, L.L.C.",HILO,93 LIHIWAI STREET,,96720,HI
T & T PAREL MINIMART & SNACK SHOPPE,PAAUILO,42-1027 HAWAII BELT ROAD,,96776,HI
SIRIUS COFFEE CONNECTION,PAHOA,15-2874 OLD PAHOA ROAD,,96785,HI
PRINCE KUHIO STADIUM CINEMAS,HILO,"111 E. PUAINAKO STREET, SUITE 400",,97205,HI
PIZZA HAWAII,HILO,"2100 KANOELEHUA AVENUE, SUITE B-11",,96720,HI
WIKI WIKI KITCHEN,HILO,1710 KAMEHAMEHA AVENUE,,96720,HI
PETE'S BELLY BUSTAZS,HILO,"82 PUUHONU PLACE, #104",,96720,HI
WILDBULL LEATHER WORKS,NAALEHU,95-5587 MAMALAHOA HIGHWAY,,96772,HI
COACH'S CORNER COFFEE BAR,HONOKAA,45-3610 MAMANE STREET #4,,96727,HI
Y'S LUNCH SHOP,HILO,263 KEAWE STREET,,96720,HI
AYUTHAYA 2 THAI RESTAURANT,HILO,804 KILAUEA AVENUE,,96720,HI
DOWNTOWN SUBWAY,HILO,194 KILAUEA AVENUE,,96720,HI
AYUTTHAYA RESTAURANT,HILO,804 KILAUEA AVENUE,,96720,HI
CHAM CHAM KOREAN BBQ HILO,HILO,"421 KALANIKOA STREET, #102",,96720,HI
100% MOXIE,HILO,"318 KINOOLE STREET, SUITE 2",,96720,HI
EAST SIDE HILO BAR & GRILL,HILO,"200 KANOELEHUA AVENUE, #106",,96720,HI
BEARS COFFEE,HILO,106 KEAWE STREET,,96720,HI
BLANE'S DRIVE INN-DOWNTOWN,HILO,217 WAIANUENUE AVENUE,,96720,HI
ENCORE BY KUHIO GRILLE,HILO,2100 KANOELEHUA AVENUE,,96720,HI
CHAM CHAM KOREAN BBQ,HILO,"421 KALANIKOA STREET, #102",,96720,HI
CANOES BAR & GRILL,HILO,"400 HUALANI STREET, BUILDING 22",,96720,HI
C.C. JON'S SNACK-IN' SHOPPE,HONOKAA,45-3390 MAMANE STREET,,96727,HI
ALOHA LUIGI,HILO,264 KEAWE STREET,,96720,HI
ALOHA LUIGI HAWAII,HILO,264 KEAWE STREET,,96720,HI
1 PLUS 1 CAFÉ,HILO,"315 MAKAALA STREET, STE #110",,96720,HI
HILO LANES DINER,HILO,777 KINOOLE STREET,,96720,HI
LING'S CHOP SUEY HOUSE,HILO,2100 KANOELEHUA AVENUE,,96720,HI
"KIAWE KITCHEN, L.L.C.",VOLCANO,19-4005 HAUNANI ROAD,,96785,HI
HAPPY VALLEY SEAFOOD RESTAURANT,HILO,"1263 KILAUEA AVENUE, #320",,96720,HI
JIMMY'S DRIVE INN,HILO,362 KINOOLE STREET,,96720,HI
HILO BURGER JOINT,HILO,776 KILAUEA AVENUE,,96720,HI
"LUQUIN'S MEXICAN RESTAURANT, INC.",PAHOA,PAHOA GOVERNMENT ROAD,,96778,HI
HILO  L & L DRIVE-INN,HILO,348 KINOOLE STREET,,96720,HI
HILO LEMONGRASS,KEAAU,"16-586 OLD VOLCANO ROAD, #103",,96749,HI
K'S DRIVE IN,HILO,194 HUALALAI STREET,,96720,HI
KUHIO GRILLE,HILO,111 E. PUAINAKO STREET,,96720,HI
KEN'S HOUSE OF PANCAKES,HILO,1730 KAMEHAMEHA AVENUE,,96720,HI
GREEN ONION COCKTAIL LOUNGE,HILO,1235E KILAUEA AVENUE,,96720,HI
KOA SHOP KAFFEE,MOUNTAIN VIEW,17-4003 AHUAHU PLACE,,96760,HI
KOW'S RESTAURANT,HILO,87 W. KAWAILANI STREET,,96720,HI
